sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The man built a website for the monk because	m	7	7	9	subj	m	1
The grandfather told the uncle the good news that	m	4	4	9	subj	m	1
The grandfather made the grandson perform remedial study because	m	4	4	9	subj	m	1
The lord was impressed by the brother because	m	6	6	8	subj	m	1
The lord charged the grandfather one hundred dollars although	m	4	4	9	subj	m	1
The monk needed feedback from the father because	m	6	6	8	subj	m	1
The husband was unable to communicate with the uncle because	m	8	8	10	subj	m	1
The brother returned a book to the uncle but	m	7	7	9	subj	m	1
The man likes to work with the son because	m	7	7	9	subj	m	1
The man picked up bread from the grandson because	m	7	7	9	subj	m	1
The man tries to approach the boy because	m	6	6	8	subj	m	1
The grandfather never talked with the son because	m	6	6	8	subj	m	1
The monk built a website for the husband because	m	7	7	9	subj	m	1
The son was not recognized by the grandfather because	m	7	7	9	subj	m	1
The boy handed the application to the monk because	m	7	7	9	subj	m	1
The lord was impressed by the uncle because	m	6	6	8	subj	m	1
The brother asked the grandson to prepare some documents because	m	4	4	10	subj	m	1
The groom asked the father to be more careful because	m	4	4	10	subj	m	1
The groom built a website for the grandfather because	m	7	7	9	subj	m	1
The father asked the husband many questions because	m	4	4	8	subj	m	1
The father missed the call from the husband because	m	7	7	9	subj	m	1
The husband had to hire the monk because	m	6	6	8	subj	m	1
The groom likes the lord 's product and	m	4	4	8	subj	m	1
The grandson is waiting for the son because	m	6	6	8	subj	m	1
The groom offered apples to the brother , because	m	6	6	9	subj	m	1
The man helped the man to fix the engine and	m	4	4	10	subj	m	1
The grandson gave the uncle a ride because	m	4	4	8	subj	m	1
The husband enjoyed getting a haircut from the groom because	m	8	8	10	subj	m	1
The brother asked the man to pick up papers because	m	4	4	10	subj	m	1
The husband had a meeting with the man so	m	7	7	9	subj	m	1
The brother picked up bread from the husband because	m	7	7	9	subj	m	1
The boy gave the brother a bag of eggs because	m	4	4	10	subj	m	1
The uncle suggested the monk get a new job because	m	4	4	10	subj	m	1
The groom brought the grandson some ideas which	m	4	4	8	subj	m	1
The groom got mad at the man because	m	6	6	8	subj	m	1
The lord made a desk for the monk because	m	7	7	9	subj	m	1
The grandson is talking to the brother about the thief	m	6	6	10	subj	m	1
The husband enjoyed getting a haircut from the uncle because	m	8	8	10	subj	m	1
The father was angry at the father as	m	6	6	8	subj	m	1
The son suspected the groom was the murderer but	m	4	4	9	subj	m	1
The groom asked the grandson many questions because	m	4	4	8	subj	m	1
The groom meets the grandfather every week because	m	4	4	8	subj	m	1
The brother needed the father to find a book because	m	4	4	10	subj	m	1
The father enjoyed getting a haircut from the grandfather because	m	8	8	10	subj	m	1
The grandfather went to the house of the father because	m	8	8	10	subj	m	1
The son made the father perform remedial study because	m	4	4	9	subj	m	1
The husband asked the grandfather to pick up papers because	m	4	4	10	subj	m	1
The lord went to the house of the grandson because	m	8	8	10	subj	m	1
The uncle tried to avoid seeing the father because	m	7	7	9	subj	m	1
The father was impressed by the boy because	m	6	6	8	subj	m	1
The lord charged the son one hundred dollars although	m	4	4	9	subj	m	1
The boy has more money than the boy since	m	7	7	9	subj	m	1
The son is telling the groom what design	m	5	5	8	subj	m	1
The groom cleaned the son 's room and	m	4	4	8	subj	m	1
The lord demanded more bread from the father because	m	7	7	9	subj	m	1
The uncle meets the boy every week because	m	4	4	8	subj	m	1
The brother cleaned the room for the grandfather and	m	7	7	9	subj	m	1
The boy ran faster than the son because	m	6	6	8	subj	m	1
The grandfather was impressed by the lord because	m	6	6	8	subj	m	1
The boy demanded an apology from the boy because	m	7	7	9	subj	m	1
The man was unable to communicate with the father because	m	8	8	10	subj	m	1
The boy prepared dinner for the groom and	m	6	6	8	subj	m	1
The man was impressed by the monk because	m	6	6	8	subj	m	1
The groom showed dissatisfaction with the boy because	m	6	6	8	subj	m	1
The husband needed feedback from the boy because	m	6	6	8	subj	m	1
The groom fixed the monk 's car and then	m	4	4	9	subj	m	1
The lord agreed to raise the grandson 's salary because	m	6	6	10	subj	m	1
The lord is telling the father what design	m	5	5	8	subj	m	1
The grandfather accused the father of theft because	m	4	4	8	subj	m	1
The grandson told the uncle to leave right now as	m	4	4	10	subj	m	1
The husband always ask the monk for help because	m	5	5	9	subj	m	1
The grandson wanted to take the brother ’s job because	m	6	6	10	subj	m	1
The lord needed feedback from the boy because	m	6	6	8	subj	m	1
The son is talking to the boy about the thief	m	6	6	10	subj	m	1
The man meets the grandson every week because	m	4	4	8	subj	m	1
The grandfather is afraid of the monk because	m	6	6	8	subj	m	1
The groom is always teaching the father new techniques so	m	6	6	10	subj	m	1
The father was referred to the groom because	m	6	6	8	subj	m	1
