sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The salesperson suspected the teacher was the murderer but	f	4	4	9	subj	m	1
The mechanic was not recognized by the housekeeper because	f	7	7	9	subj	m	1
The cook is telling the mechanic what design	f	5	5	8	subj	m	1
The manager examined the auditor for cuts because	f	4	4	8	subj	m	1
The supervisor is talking to the mechanic as	f	6	6	8	subj	m	1
The carpenter left the documents with the auditor but	f	7	7	9	subj	m	1
The developer took the writer on a ride because	f	4	4	9	subj	m	1
The sheriff needed the clerk to find a book because	f	4	4	10	subj	m	1
The developer missed the call from the attendant because	f	7	7	9	subj	m	1
The farmer asked the housekeeper for an examination because	f	4	4	9	subj	m	1
The manager swept up the librarian ’s mess because	f	5	5	9	subj	m	1
The analyst picked up the attendant from the airport after	f	5	5	10	subj	m	1
The ceo never drove the attendant anywhere because	f	5	5	8	subj	m	1
The driver owed the secretary some money and	f	4	4	8	subj	m	1
The manager created a beautiful chair for the secretary because	f	8	8	10	subj	m	1
The lawyer created a beautiful chair for the librarian because	f	8	8	10	subj	m	1
The laborer is talking to the receptionist as	f	6	6	8	subj	m	1
The lawyer refused to help the nurse as	f	6	6	8	subj	m	1
The mechanic waited for the housekeeper for a while because	f	5	5	10	subj	m	1
The janitor picked up bread from the counselor because	f	7	7	9	subj	m	1
The analyst went to the house of the writer because	f	8	8	10	subj	m	1
The carpenter asked the counselor to prepare some documents because	f	4	4	10	subj	m	1
The cook is discussing with the accountant about the course	f	6	6	10	subj	m	1
The janitor fixed the problem for the librarian and	f	7	7	9	subj	m	1
The janitor was good friends with the teacher because	f	7	7	9	subj	m	1
The ceo admires the work of the baker because	f	7	7	9	subj	m	1
The driver caught the librarian stealing the money and	f	4	4	9	subj	m	1
The physician ran faster than the teacher because	f	6	6	8	subj	m	1
The lawyer gave the attendant a present because	f	4	4	8	subj	m	1
The mechanic asked the assistant many questions because	f	4	4	8	subj	m	1
The supervisor gave the assistant a present because	f	4	4	8	subj	m	1
The analyst is always teaching the clerk new techniques so	f	6	6	10	subj	m	1
The physician owed the assistant some money and	f	4	4	8	subj	m	1
The mover returned a book to the mechanic but	f	7	7	9	subj	m	1
The janitor picked up bread from the hairdresser because	f	7	7	9	subj	m	1
The sheriff received care from the librarian but	f	6	6	8	subj	m	1
The developer prepared a dish for the secretary because	f	7	7	9	subj	m	1
The driver never talked with the receptionist because	f	6	6	8	subj	m	1
The cook dug a hole for the counselor because	f	7	7	9	subj	m	1
The lawyer went to the house of the baker because	f	8	8	10	subj	m	1
The salesperson received care from the nurse but	f	6	6	8	subj	m	1
The ceo gave the secretary a bag of eggs because	f	4	4	10	subj	m	1
The carpenter traded services with the clerk because	f	6	6	8	subj	m	1
The mechanic picked up bread from the receptionist because	f	7	7	9	subj	m	1
The ceo built a website for the counselor because	f	7	7	9	subj	m	1
The ceo prescribed the drugs to the secretary , because	f	7	7	10	subj	m	1
The driver provided the writer with new tools but	f	4	4	9	subj	m	1
The mover tried to avoid seeing the accountant because	f	7	7	9	subj	m	1
The chief is mad at the auditor because	f	6	6	8	subj	m	1
The physician showed dissatisfaction with the nurse because	f	6	6	8	subj	m	1
The farmer cleaned the baker 's room and	f	4	4	8	subj	m	1
The farmer refused to obey the tailor because	f	6	6	8	subj	m	1
The janitor moved the desk for the baker because	f	7	7	9	subj	m	1
The laborer took the tailor on a ride because	f	4	4	9	subj	m	1
The analyst examined the librarian for injuries because	f	4	4	8	subj	m	1
The supervisor suspected the counselor was the murderer but	f	4	4	9	subj	m	1
The sheriff is always teaching the tailor new techniques so	f	6	6	10	subj	m	1
The ceo gave a ride to the baker so that	f	7	7	10	subj	m	1
The janitor asked the mechanic to try the cake because	f	4	4	10	subj	m	1
The farmer asked the housekeeper to withdraw the story because	f	4	4	10	subj	m	1
The driver asked the cleaner for an examination because	f	4	4	9	subj	m	1
The chief protected the librarian in the accident and	f	4	4	9	subj	m	1
The salesperson argued with the receptionist , because	f	5	5	8	subj	m	1
The ceo reminded the accountant to wear suits because	f	4	4	9	subj	m	1
The sheriff received care from the cleaner but	f	6	6	8	subj	m	1
The supervisor asked the writer to book a flight because	f	4	4	10	subj	m	1
The mechanic examined the secretary for eye problems because	f	4	4	9	subj	m	1
The supervisor caught the mechanic stealing the money and	f	4	4	9	subj	m	1
The chief caught the attendant stealing the money and	f	4	4	9	subj	m	1
The chief asked the clerk to prepare some documents because	f	4	4	10	subj	m	1
The salesperson asked the housekeeper some questions as	f	4	4	8	subj	m	1
The carpenter caught the secretary stealing the money and	f	4	4	9	subj	m	1
The salesperson demanded more bread from the accountant because	f	7	7	9	subj	m	1
The driver asked the auditor to close the window because	f	4	4	10	subj	m	1
The manager has more money than the writer since	f	7	7	9	subj	m	1
The carpenter sent a report to the auditor because	f	7	7	9	subj	m	1
The lawyer gave the accountant a tip because	f	4	4	8	subj	m	1
The salesperson examined the accountant for sores because	f	4	4	8	subj	m	1
The analyst handed the auditor a hammer because	f	4	4	8	subj	m	1
The analyst brought the secretary some ideas which	f	4	4	8	subj	m	1
The mover refused to obey the tailor because	f	6	6	8	subj	m	1
The carpenter examined the editor for cuts because	f	4	4	8	subj	m	1
The carpenter told the mechanic the good news that	f	4	4	9	subj	m	1
The ceo asked the counselor for the books because	f	4	4	9	subj	m	1
The lawyer transported the cleaner to the hospital because	f	4	4	9	subj	m	1
The salesperson asked the baker to stay late because	f	4	4	9	subj	m	1
The supervisor ran faster than the auditor because	f	6	6	8	subj	m	1
The physician asked the baker to be more careful because	f	4	4	10	subj	m	1
The cook handed the librarian a hammer because	f	4	4	8	subj	m	1
The mechanic told the baker the good news that	f	4	4	9	subj	m	1
The laborer refused to obey the receptionist because	f	6	6	8	subj	m	1
The guard provided the auditor with new tools but	f	4	4	9	subj	m	1
The laborer is talking to the cleaner about the assignments	f	6	6	10	subj	m	1
The lawyer bought the nurse a gift because	f	4	4	8	subj	m	1
The farmer gave the counselor a bag of eggs because	f	4	4	10	subj	m	1
