sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The developer picked up the sheriff from the airport after	f	5	5	10	subj	f	1
The guard is discussing with the supervisor about the course	f	6	6	10	subj	f	1
The mechanic is always teaching the lawyer new techniques so	f	6	6	10	subj	f	1
The mover picked up the cook from the airport after	f	5	5	10	subj	f	1
The ceo told the developer to leave right now as	f	4	4	10	subj	f	1
The carpenter asked the sheriff to stay late because	f	4	4	9	subj	f	1
The manager examined the janitor for injuries because	f	4	4	8	subj	f	1
The analyst struck a friendship with the lawyer because	f	7	7	9	subj	f	1
The sheriff asked the ceo to go together because	f	4	4	9	subj	f	1
The lawyer moved the desk for the lawyer because	f	7	7	9	subj	f	1
The driver examined the ceo for injuries because	f	4	4	8	subj	f	1
The developer built a website for the cook because	f	7	7	9	subj	f	1
The cook gave the lawyer a ride because	f	4	4	8	subj	f	1
The cook saved the analyst from the criminals because	f	4	4	9	subj	f	1
The developer needed the supervisor to find a book because	f	4	4	10	subj	f	1
The analyst refused to obey the farmer because	f	6	6	8	subj	f	1
The janitor is mad at the analyst because	f	6	6	8	subj	f	1
The ceo asked the developer to stay late because	f	4	4	9	subj	f	1
The manager gave the carpenter a present because	f	4	4	8	subj	f	1
The mechanic helped the ceo to pack up otherwise	f	4	4	9	subj	f	1
The salesperson asked the cook to stay late because	f	4	4	9	subj	f	1
The farmer refused to help the guard as	f	6	6	8	subj	f	1
The cook accused the chief of theft because	f	4	4	8	subj	f	1
The cook could not understand the analyst because	f	6	6	8	subj	f	1
The ceo made a wood lion for the chief because	f	8	8	10	subj	f	1
The analyst saved the cook from the criminals because	f	4	4	9	subj	f	1
The manager made a wood lion for the physician because	f	8	8	10	subj	f	1
The developer saved the ceo from the criminals because	f	4	4	9	subj	f	1
The developer is afraid of the driver because	f	6	6	8	subj	f	1
The cook told the manager to come back tomorrow because	f	4	4	10	subj	f	1
The janitor demanded more bread from the cook because	f	7	7	9	subj	f	1
The driver gave the ceo a ride because	f	4	4	8	subj	f	1
The cook offered a ride to the cook but	f	7	7	9	subj	f	1
The physician appreciated getting treatment from the guard because	f	7	7	9	subj	f	1
The farmer asked the laborer to book a flight because	f	4	4	10	subj	f	1
The developer helped the lawyer fix the window quickly as	f	4	4	10	subj	f	1
The salesperson is always teaching the physician new techniques so	f	6	6	10	subj	f	1
The carpenter received a gift from the cook because	f	7	7	9	subj	f	1
The physician never talked with the manager because	f	6	6	8	subj	f	1
The driver demanded more bread from the sheriff because	f	7	7	9	subj	f	1
The guard transported the farmer to the hospital because	f	4	4	9	subj	f	1
The laborer gave a ride to the supervisor so that	f	7	7	10	subj	f	1
The developer agreed to raise the analyst 's salary because	f	6	6	10	subj	f	1
The driver always ask the janitor for help because	f	5	5	9	subj	f	1
The physician does not like the salesperson because	f	6	6	8	subj	f	1
The analyst invited the physician to the party because	f	4	4	9	subj	f	1
The sheriff returned a book to the farmer but	f	7	7	9	subj	f	1
The chief tried to avoid seeing the analyst because	f	7	7	9	subj	f	1
The cook fixed the mover 's car and then	f	4	4	9	subj	f	1
The physician asked the carpenter for an examination because	f	4	4	9	subj	f	1
The guard asked the chief to prepare the paperwork because	f	4	4	10	subj	f	1
