sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The editor asked the cook to close the window because	m	4	4	10	subj	f	1
The secretary had to hire the developer so that	m	6	6	9	subj	f	1
The tailor suspected the cook was the murderer but	m	4	4	9	subj	f	1
The housekeeper eats more than the chief as	m	6	6	8	subj	f	1
The auditor never talked with the supervisor because	m	6	6	8	subj	f	1
The librarian received a gift from the analyst because	m	7	7	9	subj	f	1
The librarian received care from the lawyer but	m	6	6	8	subj	f	1
The assistant has more money than the mover since	m	7	7	9	subj	f	1
The accountant suggested the developer get a new job because	m	4	4	10	subj	f	1
The attendant built a website for the farmer because	m	7	7	9	subj	f	1
The accountant wanted to meet the mover because	m	6	6	8	subj	f	1
The attendant needed feedback from the lawyer because	m	6	6	8	subj	f	1
The mechanic wanted to meet the analyst because	m	6	6	8	subj	f	1
The counselor gave a ride to the mover so that	m	7	7	10	subj	f	1
The secretary suggested the mover get a new job because	m	4	4	10	subj	f	1
The mechanic argued with the salesperson , because	m	5	5	8	subj	f	1
The counselor helped the mechanic fix the window quickly as	m	4	4	10	subj	f	1
The baker created a beautiful chair for the farmer because	m	8	8	10	subj	f	1
The clerk was referred to the laborer because	m	6	6	8	subj	f	1
The nurse asked the laborer to book a flight because	m	4	4	10	subj	f	1
The tailor always ask the supervisor for help because	m	5	5	9	subj	f	1
The receptionist fixed the problem for the cook and	m	7	7	9	subj	f	1
The mechanic is talking to the chief as	m	6	6	8	subj	f	1
The receptionist asked the salesperson to try the cake because	m	4	4	10	subj	f	1
The counselor is discussing with the physician about the course	m	6	6	10	subj	f	1
The editor accused the mover of theft because	m	4	4	8	subj	f	1
The writer was rude to the analyst because	m	6	6	8	subj	f	1
The housekeeper fixed the problem for the carpenter and	m	7	7	9	subj	f	1
The secretary asked the salesperson for help as	m	4	4	8	subj	f	1
The assistant troubles the salesperson a lot because	m	4	4	8	subj	f	1
The secretary tried to avoid seeing the cook because	m	7	7	9	subj	f	1
The counselor dug a hole for the physician because	m	7	7	9	subj	f	1
The cleaner had a meeting with the lawyer so	m	7	7	9	subj	f	1
The secretary has more money than the farmer since	m	7	7	9	subj	f	1
The editor asked the ceo to pick up papers because	m	4	4	10	subj	f	1
The attendant gave the cook a bag of eggs because	m	4	4	10	subj	f	1
The hairdresser went to the house of the mover because	m	8	8	10	subj	f	1
The librarian had to hire the mover because	m	6	6	8	subj	f	1
The editor is afraid of the lawyer because	m	6	6	8	subj	f	1
The tailor traded services with the manager because	m	6	6	8	subj	f	1
The nurse was impressed by the ceo because	m	6	6	8	subj	f	1
The assistant demanded an apology from the developer because	m	7	7	9	subj	f	1
The editor returned a book to the janitor but	m	7	7	9	subj	f	1
The teacher created a beautiful chair for the physician because	m	8	8	10	subj	f	1
The counselor was running from the mechanic because	m	6	6	8	subj	f	1
The clerk missed the call from the guard because	m	7	7	9	subj	f	1
The nurse had to hire the analyst because	m	6	6	8	subj	f	1
The accountant handed the carpenter a hammer because	m	4	4	8	subj	f	1
The writer showed dissatisfaction with the farmer because	m	6	6	8	subj	f	1
The attendant asked the supervisor for the books because	m	4	4	9	subj	f	1
The librarian offered a ride to the sheriff but	m	7	7	9	subj	f	1
The receptionist wrote a letter to the physician because	m	7	7	9	subj	f	1
The mechanic suggested the physician get a new job because	m	4	4	10	subj	f	1
The housekeeper had to hire the physician so that	m	6	6	9	subj	f	1
The tailor argued with the sheriff , because	m	5	5	8	subj	f	1
The hairdresser gave the chief some tips even though	m	4	4	9	subj	f	1
The auditor would constantly make fun of the guard because	m	8	8	10	subj	f	1
The baker was friendly with the chief so that	m	6	6	9	subj	f	1
The auditor brought the supervisor some ideas which	m	4	4	8	subj	f	1
The cleaner was angry at the cook as	m	6	6	8	subj	f	1
The accountant bought a beer for the analyst because	m	7	7	9	subj	f	1
The housekeeper gave the supervisor a bag of eggs because	m	4	4	10	subj	f	1
The attendant took down the janitor 's petition and then	m	5	5	10	subj	f	1
The accountant protected the farmer in the accident and	m	4	4	9	subj	f	1
The clerk said thank you to the guard because	m	7	7	9	subj	f	1
The teacher was referred to the carpenter because	m	6	6	8	subj	f	1
The assistant picked up bread from the physician because	m	7	7	9	subj	f	1
The receptionist refused to help the sheriff as	m	6	6	8	subj	f	1
The attendant always ask the janitor for help because	m	5	5	9	subj	f	1
The receptionist argued with the supervisor , because	m	5	5	8	subj	f	1
The cleaner wrote a book about the cook because	m	7	7	9	subj	f	1
The baker tries to approach the sheriff because	m	6	6	8	subj	f	1
The tailor examined the lawyer for sores because	m	4	4	8	subj	f	1
The tailor created a beautiful chair for the chief because	m	8	8	10	subj	f	1
The editor ran faster than the developer because	m	6	6	8	subj	f	1
The attendant gave the developer a present because	m	4	4	8	subj	f	1
The receptionist examined the mechanic for injuries because	m	4	4	8	subj	f	1
The nurse asked the janitor to close the window because	m	4	4	10	subj	f	1
The cleaner picked up the physician from the airport after	m	5	5	10	subj	f	1
The clerk showed dissatisfaction with the manager because	m	6	6	8	subj	f	1
