sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The father caught the lady stealing the money and	f	4	4	9	subj	m	1The bride examined the son for injuries because	m	4	4	8	subj	f	1
The bride met with the father so that	m	5	5	8	subj	f	1
The mother has more money than the husband since	m	7	7	9	subj	f	1
The nun offered apples to the grandfather , because	m	6	6	9	subj	f	1
The sister caught the father stealing the money and	m	4	4	9	subj	f	1
The woman is talking to the grandson as	m	6	6	8	subj	f	1
The sister asked the boy to pick up papers because	m	4	4	10	subj	f	1
The woman had to hire the boy because	m	6	6	8	subj	f	1
The bride suspected the brother was the murderer but	m	4	4	9	subj	f	1
The grandmother was good friends with the grandson because	m	7	7	9	subj	f	1
The grandmother gave the lord a tip because	m	4	4	8	subj	f	1
The daughter offered a ride to the husband but	m	7	7	9	subj	f	1
The woman charged the father one hundred dollars although	m	4	4	9	subj	f	1
The grandmother got mad at the father because	m	6	6	8	subj	f	1
The bride gave the son a tip because	m	4	4	8	subj	f	1
The grandmother moved the desk for the boy because	m	7	7	9	subj	f	1
The nun was rude to the father because	m	6	6	8	subj	f	1
The sister was running from the lord because	m	6	6	8	subj	f	1
The lady asked the lord to stay late because	m	4	4	9	subj	f	1
The grandmother gave the son a bag of eggs because	m	4	4	10	subj	f	1
The bride owed the man some money and	m	4	4	8	subj	f	1
The mother struck a friendship with the brother because	m	7	7	9	subj	f	1
The girl asked the man for an examination because	m	4	4	9	subj	f	1
The granddaughter asked the grandfather for help as	m	4	4	8	subj	f	1
The bride created a beautiful chair for the grandson because	m	8	8	10	subj	f	1
The lady needed feedback from the son because	m	6	6	8	subj	f	1
The aunt asked the lord for help as	m	4	4	8	subj	f	1
The wife is always teaching the grandson new techniques so	m	6	6	10	subj	f	1
The bride could not understand the grandfather because	m	6	6	8	subj	f	1
The grandmother charged the grandson one hundred dollars although	m	4	4	9	subj	f	1
The mother needed feedback from the grandfather because	m	6	6	8	subj	f	1
The aunt took the grandfather on a ride because	m	4	4	9	subj	f	1
The wife refused to obey the husband because	m	6	6	8	subj	f	1
The nun refused to obey the grandson because	m	6	6	8	subj	f	1
The nun cleaned the uncle 's room and	m	4	4	8	subj	f	1
The wife tried to avoid seeing the grandson because	m	7	7	9	subj	f	1
The daughter agreed to raise the grandson 's salary because	m	6	6	10	subj	f	1
The woman owed the uncle some money and	m	4	4	8	subj	f	1
The grandmother enjoyed getting a haircut from the husband because	m	8	8	10	subj	f	1
The nun picked up bread from the father because	m	7	7	9	subj	f	1
The wife eats more than the grandfather as	m	6	6	8	subj	f	1
The mother struck a friendship with the groom because	m	7	7	9	subj	f	1
The nun asked the man some questions as	m	4	4	8	subj	f	1
The lady suggested the brother get a new job because	m	4	4	10	subj	f	1
The daughter wrote a book about the brother because	m	7	7	9	subj	f	1
The daughter is telling the husband what design	m	5	5	8	subj	f	1
The granddaughter enjoyed getting a haircut from the son because	m	8	8	10	subj	f	1
The woman was good friends with the son because	m	7	7	9	subj	f	1
The lady struck a friendship with the man because	m	7	7	9	subj	f	1
The lady saved the grandson from the criminals because	m	4	4	9	subj	f	1
The daughter is talking to the lord about the thief	m	6	6	10	subj	f	1
The lady was angry at the boy as	m	6	6	8	subj	f	1
The lady picked up the man from the airport after	m	5	5	10	subj	f	1
The woman argued with the lord , because	m	5	5	8	subj	f	1
The girl always ask the grandson for help because	m	5	5	9	subj	f	1
The aunt picked up the boy from the airport after	m	5	5	10	subj	f	1
The woman saved the uncle from the criminals because	m	4	4	9	subj	f	1
The woman handed the grandfather a hammer because	m	4	4	8	subj	f	1
The mother demanded more bread from the grandfather because	m	7	7	9	subj	f	1
The grandmother asked the uncle to prepare some documents because	m	4	4	10	subj	f	1
The wife gave the man a present because	m	4	4	8	subj	f	1
The girl offered apples to the father , because	m	6	6	9	subj	f	1
The mother examined the grandson for eye problems because	m	4	4	9	subj	f	1
The wife gave a ride to the brother so that	m	7	7	10	subj	f	1
The girl is waiting for the groom because	m	6	6	8	subj	f	1
The aunt admires the work of the man because	m	7	7	9	subj	f	1
The grandmother bought the grandfather a gift because	m	4	4	8	subj	f	1
The daughter picked up bread from the grandfather because	m	7	7	9	subj	f	1
The grandmother demanded to be seen by the father because	m	8	8	10	subj	f	1
The nun demanded the lord leave the farm because	m	4	4	9	subj	f	1
The grandmother saved the father from the criminals because	m	4	4	9	subj	f	1
The grandmother tries to approach the husband because	m	6	6	8	subj	f	1
The woman appreciated getting treatment from the brother because	m	7	7	9	subj	f	1
The nun received a gift from the boy because	m	7	7	9	subj	f	1
The aunt demanded an apology from the grandson because	m	7	7	9	subj	f	1
The girl protected the lord in the accident and	m	4	4	9	subj	f	1
The granddaughter is talking to the grandson about the assignments	m	6	6	10	subj	f	1
The sister was a big fan of the boy because	m	8	8	10	subj	f	1
The wife never drove the monk anywhere because	m	5	5	8	subj	f	1
The daughter demanded to be seen by the son because	m	8	8	10	subj	f	1
The sister never talked with the lord because	m	6	6	8	subj	f	1
The bride was good friends with the boy because	m	7	7	9	subj	f	1
The wife returned a book to the grandfather but	m	7	7	9	subj	f	1
The girl had to hire the man because	m	6	6	8	subj	f	1
The daughter told the grandfather to provide documentation because	m	4	4	9	subj	f	1
The nun had to hire the man so that	m	6	6	9	subj	f	1
The grandmother is discussing with the boy about the course	m	6	6	10	subj	f	1
The daughter suggested the brother get a new job because	m	4	4	10	subj	f	1
The sister moved the desk for the monk because	m	7	7	9	subj	f	1
The daughter owed the boy some money and	m	4	4	8	subj	f	1
The aunt prescribed the drugs to the monk , because	m	7	7	10	subj	f	1
The woman agreed to raise the man 's salary because	m	6	6	10	subj	f	1
The daughter never talked with the grandson because	m	6	6	8	subj	f	1
The grandmother examined the grandson for injuries because	m	4	4	8	subj	f	1
