sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The woman never drove the bride anywhere because	f	5	5	8	subj	f	1
The sister swept up the girl ’s mess because	f	5	5	9	subj	f	1
The nun was a big fan of the woman because	f	8	8	10	subj	f	1
The grandmother could not understand the sister because	f	6	6	8	subj	f	1
The granddaughter demanded to be seen by the nun because	f	8	8	10	subj	f	1
The girl prescribed the drugs to the aunt , because	f	7	7	10	subj	f	1
The granddaughter helped the grandmother to fix the engine and	f	4	4	10	subj	f	1
The aunt is always teaching the woman new techniques so	f	6	6	10	subj	f	1
The lady helped the wife to fix the engine and	f	4	4	10	subj	f	1
The sister is always teaching the grandmother new techniques so	f	6	6	10	subj	f	1
The bride asked the mother to try the cake because	f	4	4	10	subj	f	1
The grandmother helped the nun fix the window quickly as	f	4	4	10	subj	f	1
The mother bought a beer for the lady because	f	7	7	9	subj	f	1
The bride prepared a soup for the mother because	f	7	7	9	subj	f	1
The bride prepared a dish for the nun because	f	7	7	9	subj	f	1
The daughter would constantly make fun of the girl because	f	8	8	10	subj	f	1
The sister was rude to the bride because	f	6	6	8	subj	f	1
The sister eats more than the woman as	f	6	6	8	subj	f	1
The aunt eats more than the sister as	f	6	6	8	subj	f	1
The grandmother wrote a book about the lady because	f	7	7	9	subj	f	1
The girl helped the lady fix the window quickly as	f	4	4	10	subj	f	1
The daughter refused to help the daughter as	f	6	6	8	subj	f	1
The aunt was friendly with the nun so that	f	6	6	9	subj	f	1
The granddaughter agreed to raise the grandmother 's salary because	f	6	6	10	subj	f	1
The lady bought a beer for the nun because	f	7	7	9	subj	f	1
The granddaughter said thank you to the aunt because	f	7	7	9	subj	f	1
The wife gave a ride to the nun so that	f	7	7	10	subj	f	1
The nun asked the daughter to book a flight because	f	4	4	10	subj	f	1
The grandmother had to hire the mother because	f	6	6	8	subj	f	1
The girl was friendly with the lady so that	f	6	6	9	subj	f	1
The mother left the documents with the lady but	f	7	7	9	subj	f	1
The bride is talking to the sister about the assignments	f	6	6	10	subj	f	1
The lady needed feedback from the girl because	f	6	6	8	subj	f	1
The granddaughter likes the wife 's product and	f	4	4	8	subj	f	1
The aunt demanded to be seen by the wife because	f	8	8	10	subj	f	1
The nun picked up the mother from the airport after	f	5	5	10	subj	f	1
The sister took down the mother 's petition and then	f	5	5	10	subj	f	1
The daughter examined the wife for sores because	f	4	4	8	subj	f	1
The nun told the sister to leave right now as	f	4	4	10	subj	f	1
The granddaughter tried to avoid seeing the bride because	f	7	7	9	subj	f	1
The lady fixed the wife 's car and then	f	4	4	9	subj	f	1
The wife made a desk for the daughter because	f	7	7	9	subj	f	1
The aunt owed the granddaughter some money and	f	4	4	8	subj	f	1
The mother helped the mother to fix the engine and	f	4	4	10	subj	f	1
The wife transported the daughter to the hospital because	f	4	4	9	subj	f	1
The nun fixed the problem for the sister and	f	7	7	9	subj	f	1
The mother always ask the aunt for help because	f	5	5	9	subj	f	1
The woman helped the sister to fix the engine and	f	4	4	10	subj	f	1
The nun accused the grandmother of theft because	f	4	4	8	subj	f	1
The grandmother gave the lady a tip because	f	4	4	8	subj	f	1
The sister asked the wife to pick up papers because	f	4	4	10	subj	f	1
The girl received care from the girl but	f	6	6	8	subj	f	1
The granddaughter bought a beer for the mother because	f	7	7	9	subj	f	1
