sen	obj_gender	obj_idx	obj_idx_start	ref_idx	ref_type	subj_gender	subj_idx
The father caught the lady stealing the money and	f	4	4	9	subj	m	1
The boy needed the aunt to find a book because	f	4	4	10	subj	m	1
The son protected the daughter in the accident and	f	4	4	9	subj	m	1
The grandfather saved the wife from the criminals because	f	4	4	9	subj	m	1
The boy prepared a soup for the wife because	f	7	7	9	subj	m	1
The lord gave the nun a bag of eggs because	f	4	4	10	subj	m	1
The monk is discussing with the bride about the course	f	6	6	10	subj	m	1
The brother gave the bride some tips even though	f	4	4	9	subj	m	1
The boy is telling the grandmother what design	f	5	5	8	subj	m	1
The monk bought the woman a gift because	f	4	4	8	subj	m	1
The groom asked the lady to try the cake because	f	4	4	10	subj	m	1
The uncle asked the daughter to be more careful because	f	4	4	10	subj	m	1
The boy demanded the nun leave the farm because	f	4	4	9	subj	m	1
The boy gave the nun a tip because	f	4	4	8	subj	m	1
The husband handed the application to the mother because	f	7	7	9	subj	m	1
The uncle asked the wife to try the cake because	f	4	4	10	subj	m	1
The grandfather suspected the woman was the murderer but	f	4	4	9	subj	m	1
The brother demanded an apology from the nun because	f	7	7	9	subj	m	1
The lord was unable to communicate with the woman because	f	8	8	10	subj	m	1
The groom provided the daughter with new tools but	f	4	4	9	subj	m	1
The man gave the woman a tip because	f	4	4	8	subj	m	1
The brother had to hire the mother because	f	6	6	8	subj	m	1
The brother argued with the nun , because	f	5	5	8	subj	m	1
The lord appreciated getting treatment from the girl because	f	7	7	9	subj	m	1
The monk would constantly make fun of the daughter because	f	8	8	10	subj	m	1
The uncle told the sister to leave right now as	f	4	4	10	subj	m	1
The father asked the granddaughter some questions as	f	4	4	8	subj	m	1
The grandfather asked the grandmother to prepare some documents because	f	4	4	10	subj	m	1
The groom looked down on the woman because	f	6	6	8	subj	m	1
The monk never drove the grandmother anywhere because	f	5	5	8	subj	m	1
The brother accused the mother of theft because	f	4	4	8	subj	m	1
The monk moved the desk for the lady because	f	7	7	9	subj	m	1
The uncle needed the bride to find a book because	f	4	4	10	subj	m	1
The grandson reminded the aunt to wear suits because	f	4	4	9	subj	m	1
The uncle received care from the daughter but	f	6	6	8	subj	m	1
The husband asked the sister to prepare some documents because	f	4	4	10	subj	m	1
The grandfather likes the nun 's product and	f	4	4	8	subj	m	1
The monk was rude to the granddaughter because	f	6	6	8	subj	m	1
The lord brought the sister some ideas which	f	4	4	8	subj	m	1
The husband invited the lady to the party because	f	4	4	9	subj	m	1
The uncle was unable to communicate with the grandmother because	f	8	8	10	subj	m	1
The man was angry at the woman as	f	6	6	8	subj	m	1
The man examined the lady for eye problems because	f	4	4	9	subj	m	1
The lord asked the grandmother to prepare the paperwork because	f	4	4	10	subj	m	1
The father waited for the girl for a while because	f	5	5	10	subj	m	1
The lord was a big fan of the mother because	f	8	8	10	subj	m	1
The boy offered to help the daughter because	f	6	6	8	subj	m	1
The father asked the granddaughter to be more careful because	f	4	4	10	subj	m	1
The brother likes to work with the grandmother because	f	7	7	9	subj	m	1
The son brought the aunt some ideas which	f	4	4	8	subj	m	1
The uncle asked the wife for help as	f	4	4	8	subj	m	1
The husband was running from the mother because	f	6	6	8	subj	m	1
The father needed the bride to find a book because	f	4	4	10	subj	m	1
The husband has more money than the granddaughter since	f	7	7	9	subj	m	1
The father fixed the granddaughter 's car and then	f	4	4	9	subj	m	1
The husband is talking to the wife as	f	6	6	8	subj	m	1
The lord likes to work with the lady because	f	7	7	9	subj	m	1
The monk picked up bread from the woman because	f	7	7	9	subj	m	1
The grandfather asked the lady to prepare some documents because	f	4	4	10	subj	m	1
The brother troubles the nun a lot because	f	4	4	8	subj	m	1
The uncle struck a friendship with the mother because	f	7	7	9	subj	m	1
The boy asked the woman to close the window because	f	4	4	10	subj	m	1
The father helped the bride to pack up otherwise	f	4	4	9	subj	m	1
The boy fixed the problem for the mother and	f	7	7	9	subj	m	1
The brother got mad at the granddaughter because	f	6	6	8	subj	m	1
The father wanted to take the grandmother ’s job because	f	6	6	10	subj	m	1
The son prepared dinner for the woman and	f	6	6	8	subj	m	1
The father picked up the lady from the airport after	f	5	5	10	subj	m	1
The groom handed the application to the nun because	f	7	7	9	subj	m	1
The son gave the girl a ride because	f	4	4	8	subj	m	1
The son transported the lady to the job because	f	4	4	9	subj	m	1
The uncle is talking to the aunt about the assignments	f	6	6	10	subj	m	1
The grandson bought a beer for the sister because	f	7	7	9	subj	m	1
The grandfather prepared a soup for the nun because	f	7	7	9	subj	m	1
The man said thank you to the bride because	f	7	7	9	subj	m	1
The monk received care from the mother but	f	6	6	8	subj	m	1
The man likes the lady 's product and	f	4	4	8	subj	m	1
The husband prepared a dish for the girl because	f	7	7	9	subj	m	1
The son scanned documents for the woman because	f	6	6	8	subj	m	1
The brother asked the bride to try the cake because	f	4	4	10	subj	m	1
The man asked the sister to prepare cakes because	f	4	4	9	subj	m	1
The father asked the bride to try the cake because	f	4	4	10	subj	m	1
The monk created a beautiful chair for the bride because	f	8	8	10	subj	m	1
The lord wrote a letter to the mother because	f	7	7	9	subj	m	1
The man saved the bride from the criminals because	f	4	4	9	subj	m	1
The boy is always teaching the girl new techniques so	f	6	6	10	subj	m	1
The father prescribed the drugs to the granddaughter , because	f	7	7	10	subj	m	1
The brother was unable to communicate with the wife because	f	8	8	10	subj	m	1
The grandson is telling the wife what design	f	5	5	8	subj	m	1
The grandfather argued with the sister , because	f	5	5	8	subj	m	1
The brother transported the woman to the hospital because	f	4	4	9	subj	m	1
The husband owed the grandmother some money and	f	4	4	8	subj	m	1
The man does not like the daughter because	f	6	6	8	subj	m	1
The husband gave the aunt a ride because	f	4	4	8	subj	m	1
The husband demanded more bread from the nun because	f	7	7	9	subj	m	1
The son asked the grandmother to close the window because	f	4	4	10	subj	m	1
The grandfather transported the mother to the job because	f	4	4	9	subj	m	1
The grandson offered to help the girl because	f	6	6	8	subj	m	1
The uncle reminded the sister to wear suits because	f	4	4	9	subj	m	1
The father asked the girl to book a flight because	f	4	4	10	subj	m	1
The groom asked the nun to go together because	f	4	4	9	subj	m	1
The uncle asked the wife to close the window because	f	4	4	10	subj	m	1
The grandfather is afraid of the wife because	f	6	6	8	subj	m	1
The man gave the aunt a bag of eggs because	f	4	4	10	subj	m	1
The son was impressed by the nun because	f	6	6	8	subj	m	1
The father was unable to communicate with the lady because	f	8	8	10	subj	m	1
The uncle likes to work with the nun because	f	7	7	9	subj	m	1
The groom reminded the sister to wear suits because	f	4	4	9	subj	m	1
The boy handed the bride a hammer because	f	4	4	8	subj	m	1
The husband prepared a soup for the bride because	f	7	7	9	subj	m	1
The brother is telling the aunt what design	f	5	5	8	subj	m	1
The father asked the wife for the books because	f	4	4	9	subj	m	1
The groom asked the nun to prepare the paperwork because	f	4	4	10	subj	m	1
The monk had to hire the woman because	f	6	6	8	subj	m	1
The groom handed the application to the sister because	f	7	7	9	subj	m	1
The lord fixed the granddaughter 's car and then	f	4	4	9	subj	m	1
The monk handed the granddaughter a hammer because	f	4	4	8	subj	m	1
The husband asked the aunt for an examination because	f	4	4	9	subj	m	1
The man tries to approach the aunt because	f	6	6	8	subj	m	1
The man went to the house of the daughter because	f	8	8	10	subj	m	1
The brother took down the mother 's petition and then	f	5	5	10	subj	m	1
